datetime,t
7/2/23,11.2
7/3/23,11.4
7/4/23,9.8
7/5/23,12.1
7/6/23,11.6
7/7/23,11.6
7/8/23,12.5
7/9/23,12.0
7/10/23,8.2
7/11/23,9.1
7/12/23,8.5
7/13/23,9.6
7/14/23,12.8
7/15/23,15.4
7/16/23,13.5
7/17/23,8.9
7/18/23,12.5
7/19/23,14.1
7/20/23,14.0
7/21/23,14.4
7/22/23,13.9
7/23/23,14.2
7/24/23,7.8
7/25/23,7.2
7/26/23,10.0
7/27/23,8.7
7/28/23,10.4
7/29/23,10.2
7/30/23,10.0
7/31/23,11.0
8/1/23,12.4
8/2/23,12.3
8/3/23,12.1
8/4/23,8.3
8/5/23,6.8
8/6/23,5.8
8/7/23,8.0
8/8/23,11.2
8/9/23,8.8
8/10/23,10.2
8/11/23,12.2
8/12/23,13.4
8/13/23,13.0
8/14/23,17.9
8/15/23,18.0
8/16/23,18.5
8/17/23,14.5
8/18/23,11.9
8/19/23,13.0
8/20/23,12.8
8/21/23,9.9
8/22/23,4.0
8/23/23,6.6
8/24/23,10.5
8/25/23,10.3
8/26/23,11.6
8/27/23,13.7
8/28/23,14.7
8/29/23,5.1
8/30/23,5.8
8/31/23,6.1
9/1/23,3.4
9/2/23,5.0
9/3/23,3.4
9/4/23,4.5
9/5/23,8.2
9/6/23,6.3
9/7/23,6.0
9/8/23,7.6
9/9/23,9.4
9/10/23,9.7
9/11/23,8.8
9/12/23,7.7
9/13/23,9.4
9/14/23,11.9
9/15/23,13.5
9/16/23,12.6
9/17/23,9.8
9/18/23,7.7
9/19/23,5.2
9/20/23,-2.0
9/21/23,-2.6
9/22/23,1.2
9/23/23,1.3
9/24/23,0.4
9/25/23,1.1
9/26/23,-1.4
9/27/23,-2.5
9/28/23,-0.7
9/29/23,0.7
9/30/23,-1.4