date,level
2020-11-05,677.94
2020-11-06,691.36
2020-11-07,693.29
2020-11-08,694.5
2020-11-09,694.56
2020-11-10,694.77
2020-11-11,699.19
2020-11-12,700.33
2020-11-13,705.52
2020-11-14,707.01
2020-11-15,716.87
2020-11-16,710.66
2020-11-17,705.06
2020-11-18,705.4
2020-11-19,708.89
2020-11-20,709.47
2020-11-21,708.57
2020-11-22,708.47
2020-11-23,708.36
2020-11-24,708.5
2020-11-25,709.84
2020-11-26,710.52
2020-11-27,709.82
2020-11-28,708.82
2020-11-29,708.27
2020-11-30,708.47
2020-12-01,708.61
2020-12-02,708.67
2020-12-03,708.49
2020-12-04,708.35
2020-12-05,708.44
2020-12-06,709.48
2020-12-07,710.12
2020-12-08,710.32
2020-12-09,710.72
2020-12-10,710.92
2020-12-11,711.21
2020-12-12,711.56
2020-12-13,713.45
2020-12-14,711.55
2020-12-15,708.2
2020-12-16,708.1
2020-12-17,713.9
2020-12-18,715.68
2020-12-19,713.97
2020-12-20,729.56
2020-12-21,734.55
2020-12-22,732.62
2020-12-23,727.05
2020-12-24,721.87
2020-12-25,718.53
2020-12-26,718.27
2020-12-27,717.36
2020-12-28,715.35
2020-12-29,712.29
2020-12-30,711.26
2020-12-31,711.35
2021-01-01,710.72
2021-01-02,710.68
2021-01-03,713.96
2021-01-04,713.66
2021-01-05,712.89
2021-01-06,710.96
2021-01-07,710.83
2021-01-08,711.44
2021-01-09,711.95
2021-01-10,710.84
2021-01-11,702.91
2021-01-12,703.29
2021-01-13,716.93
2021-01-14,718.46
2021-01-15,718.08
2021-01-16,717.4
2021-01-17,715.78
2021-01-18,714.54
2021-01-19,714.78
2021-01-20,716.55
2021-01-21,718.32
2021-01-22,719.97
2021-01-23,721.36
2021-01-24,722.7
2021-01-25,724
2021-01-26,725.18
2021-01-27,726.32
2021-01-28,727.52
2021-01-29,728.73
2021-01-30,729.86
2021-01-31,731.07
2021-02-01,732.38
2021-02-02,734.01
2021-02-03,736.19
2021-02-04,738.25
2021-02-05,740.08
2021-02-06,741.92
2021-02-07,743.57
2021-02-08,744.99
2021-02-09,746.22
2021-02-10,747.26
2021-02-11,748.23
2021-02-12,749.51
2021-02-13,756.76
2021-02-14,762.57
2021-02-15,768.89
2021-02-16,775.96
2021-02-17,778.75
2021-02-18,780.18
2021-02-19,782.28
2021-02-20,783.92
2021-02-21,784.2
2021-02-22,784.23
2021-02-23,785.6
2021-02-24,787.13
2021-02-25,788.24
2021-02-26,789.59
2021-02-27,790.99
2021-02-28,792.08
2021-03-01,793.03
2021-03-02,793.74
2021-03-03,794.25
2021-03-04,794.54
2021-03-05,794.84
2021-03-06,795.14
2021-03-07,795.42
2021-03-08,795.84
2021-03-09,796.44
2021-03-10,797.11
2021-03-11,797.74
2021-03-12,798.32
2021-03-13,798.85
2021-03-14,799.43
2021-03-15,799.87
2021-03-16,800.12
2021-03-17,800.33
2021-03-18,800.55
2021-03-19,800.83
2021-03-20,801.16
2021-03-21,801.66
2021-03-22,802.55
2021-03-23,803.7
2021-03-24,804.56
2021-03-25,805.49
2021-03-26,806.35
2021-03-27,807.02
2021-03-28,807.6
2021-03-29,808.09
2021-03-30,808.46
2021-03-31,808.75
2021-04-01,809
2021-04-02,809.22
2021-04-03,809.4
2021-04-04,809.56
2021-04-05,809.68
2021-04-06,809.78
2021-04-07,809.84
2021-04-08,809.91
2021-04-09,809.94
2021-04-10,809.99
2021-04-11,809.99
2021-04-12,809.98
2021-04-13,809.94
2021-04-14,809.89
2021-04-15,809.83
2021-04-16,809.77
2021-04-17,809.7
2021-04-18,809.64
2021-04-19,809.59
2021-04-20,809.55
2021-04-21,809.48
2021-04-22,809.39
2021-04-23,809.31
2021-04-24,809.25
2021-04-25,809.24
2021-04-26,809.23
2021-04-27,809.16
2021-04-28,809.07
2021-04-29,808.95
2021-04-30,808.88
2021-05-01,808.96
2021-05-02,808.94
2021-05-03,808.89
2021-05-04,808.8
2021-05-05,808.71
2021-05-06,808.59
2021-05-07,808.51
2021-05-08,808.39
2021-05-09,808.26
2021-05-10,808.12
2021-05-11,807.96
2021-05-12,807.79
2021-05-13,807.62
2021-05-14,807.45
2021-05-15,807.27
2021-05-16,807.08
2021-05-17,806.87
2021-05-18,806.69
2021-05-19,806.49
2021-05-20,806.33
2021-05-21,806.16
2021-05-22,805.98
2021-05-23,805.78
2021-05-24,805.63
2021-05-25,805.67
2021-05-26,805.66
2021-05-27,805.58
2021-05-28,805.46
2021-05-29,805.33
2021-05-30,805.17
2021-05-31,804.99
2021-06-01,804.79
2021-06-02,804.59
2021-06-03,804.37
2021-06-04,804.14
2021-06-05,803.91
2021-06-06,803.67
2021-06-07,803.43
2021-06-08,803.19
2021-06-09,802.95
2021-06-10,802.73
2021-06-11,802.51
2021-06-12,802.36
2021-06-13,802.16
2021-06-14,802.1
2021-06-15,801.96
2021-06-16,801.77
2021-06-17,801.55
2021-06-18,801.32
2021-06-19,801.08
2021-06-20,800.85
2021-06-21,800.59
2021-06-22,800.33
2021-06-23,800.06
2021-06-24,799.8
2021-06-25,799.51
2021-06-26,799.23
2021-06-27,798.95
2021-06-28,798.64
2021-06-29,798.33
2021-06-30,798.04
2021-07-01,797.82
2021-07-02,797.67
2021-07-03,797.5
2021-07-04,797.33
2021-07-05,797.15
2021-07-06,796.97
2021-07-07,796.78
2021-07-08,796.6
2021-07-09,796.43
2021-07-10,796.26
2021-07-11,796.07
2021-07-12,795.9
2021-07-13,795.69
2021-07-14,795.49
2021-07-15,795.33
2021-07-16,795.13
2021-07-17,794.94
2021-07-18,794.74
2021-07-19,794.54
2021-07-20,794.36
2021-07-21,794.15
2021-07-22,793.95
2021-07-23,793.75
2021-07-24,793.53
2021-07-25,793.33
2021-07-26,793.12
2021-07-27,792.92
2021-07-28,792.72
2021-07-29,792.5
2021-07-30,792.26
2021-07-31,791.99
2021-08-01,791.75
2021-08-02,791.49
2021-08-03,791.29
2021-08-04,791.13
2021-08-05,790.98
2021-08-06,790.81
2021-08-07,790.65
2021-08-08,790.48
2021-08-09,790.33
2021-08-10,790.11
2021-08-11,789.9
2021-08-12,789.72
2021-08-13,789.54
2021-08-14,789.37
2021-08-15,789.21
2021-08-16,789.04
2021-08-17,788.83
2021-08-18,788.61
2021-08-19,788.37
2021-08-20,788.17
2021-08-21,787.91
2021-08-22,787.68
2021-08-23,787.47
2021-08-24,787.21
2021-08-25,786.98
2021-08-26,786.74
2021-08-27,786.53
2021-08-28,786.29
2021-08-29,786.04
2021-08-30,785.82
2021-08-31,785.5
2021-09-01,785.1
2021-09-02,784.72
2021-09-03,784.35
2021-09-04,783.97
2021-09-05,783.59
2021-09-06,783.21
2021-09-07,782.83
2021-09-08,782.46
2021-09-09,782.07
2021-09-10,781.69
2021-09-11,781.32
2021-09-12,780.93
2021-09-13,780.54
2021-09-14,780.17
2021-09-15,779.75
2021-09-16,779.36
2021-09-17,778.94
2021-09-18,778.82
2021-09-19,779
2021-09-20,778.82
2021-09-21,778.51
2021-09-22,778.18
2021-09-23,777.79
2021-09-24,777.42
2021-09-25,777.04
2021-09-26,776.67
2021-09-27,776.45
2021-09-28,776.59
2021-09-29,776.4
2021-09-30,776.12
2021-10-01,775.8
2021-10-02,775.45
2021-10-03,775.07
2021-10-04,774.71
2021-10-05,774.36
2021-10-06,774.01
2021-10-07,773.67
2021-10-08,773.27
2021-10-09,772.9
2021-10-10,772.55
2021-10-11,772.28
2021-10-12,771.97
2021-10-13,771.67
2021-10-14,
2021-10-15,771.03
2021-10-16,770.68
2021-10-17,770.32
2021-10-18,770.13
2021-10-19,769.65
2021-10-20,768.97
2021-10-21,768.38
2021-10-22,768.7
2021-10-23,767.65
2021-10-24,765.96
2021-10-25,764.31
2021-10-26,762.62
2021-10-27,760.95
2021-10-28,759.13
2021-10-29,755.23
2021-10-30,750.21
2021-10-31,744.52
2021-11-01,738.52
2021-11-02,732.27
2021-11-03,723.61
2021-11-04,712.13
2021-11-05,697.6
2021-11-06,693.54
2021-11-07,692.83
2021-11-08,691.06
2021-11-09,695.03
2021-11-10,699.41
2021-11-11,720.8
2021-11-12,720.76
2021-11-13,720.32
2021-11-14,717.8
2021-11-15,714.12
2021-11-16,710.88
2021-11-17,706.56
2021-11-18,703.58
2021-11-19,702.64
2021-11-20,702.15
2021-11-21,701.43
2021-11-22,700.82
2021-11-23,702.66
2021-11-24,704.89
2021-11-25,704.85
2021-11-26,704.7
2021-11-27,704.51
2021-11-28,704.17
2021-11-29,703.26
2021-11-30,695.54
2021-12-01,680.26
2021-12-02,679.49
2021-12-03,678.89
2021-12-04,678.31
2021-12-05,678.51
2021-12-06,684.61
2021-12-07,682.14
2021-12-08,683.32
2021-12-09,683.65
2021-12-10,683.78
2021-12-11,688.05
2021-12-12,696.04
2021-12-13,694.71
2021-12-14,689.01
2021-12-15,685.3
2021-12-16,684.3
2021-12-17,684.09
2021-12-18,682.69
2021-12-19,699.59
2021-12-20,705.05
2021-12-21,701.53
2021-12-22,692.63
2021-12-23,693.68
2021-12-24,693.23
2021-12-25,688.12
2021-12-26,685.79
2021-12-27,683.67
2021-12-28,682.57
2021-12-29,681.8
2021-12-30,681.69
2021-12-31,681.96
2022-01-01,681.35
2022-01-02,681.28
2022-01-03,699.14
2022-01-04,702.43
2022-01-05,725.61
2022-01-06,741.06
2022-01-07,748
2022-01-08,750.61
2022-01-09,749
2022-01-10,746.03
2022-01-11,742.12
2022-01-12,737.84
2022-01-13,733.79
2022-01-14,729.62
2022-01-15,725.81
2022-01-16,721.98
2022-01-17,717.54
2022-01-18,712.15
2022-01-19,705.77
2022-01-20,703.4
2022-01-21,703.89
2022-01-22,702.26
2022-01-23,700.17
2022-01-24,700.11
2022-01-25,699.52
2022-01-26,699.15
2022-01-27,698.4
2022-01-28,698.81
2022-01-29,699.56
2022-01-30,699.97
2022-01-31,701.17
2022-02-01,701.35
2022-02-02,701
2022-02-03,700.47
2022-02-04,699.78
2022-02-05,698.97
2022-02-06,698.27
2022-02-07,698.09
2022-02-08,697.82
2022-02-09,697.36
2022-02-10,697.97
2022-02-11,698.75
2022-02-12,699.07
2022-02-13,699.63
2022-02-14,700.34
2022-02-15,701.45
2022-02-16,701.47
2022-02-17,701.2
2022-02-18,700.74
2022-02-19,699.98
2022-02-20,699.77
2022-02-21,700.48
2022-02-22,701.18
2022-02-23,701.35
2022-02-24,701.27
2022-02-25,700.98
2022-02-26,700.7
2022-02-27,701.42
2022-02-28,703.65
2022-03-01,703.66
2022-03-02,709.05
2022-03-03,710.06
2022-03-04,706.4
2022-03-05,702.16
2022-03-06,701
2022-03-07,700.56
2022-03-08,700.59
2022-03-09,700.73
2022-03-10,700.46
2022-03-11,699.85
2022-03-12,699.9
2022-03-13,701.16
2022-03-14,702.77
2022-03-15,708.26
2022-03-16,712.8
2022-03-17,715.61
2022-03-18,717.89
2022-03-19,720.15
2022-03-20,722.14
2022-03-21,723.93
2022-03-22,725.97
2022-03-23,727.53
2022-03-24,728.08
2022-03-25,728.31
2022-03-26,728.41
2022-03-27,728.57
2022-03-28,728.63
2022-03-29,728.6
2022-03-30,728.44
2022-03-31,728.22
2022-04-01,727.93
2022-04-02,727.64
2022-04-03,727.29
2022-04-04,729.09
2022-04-05,730.29
2022-04-06,729.75
2022-04-07,729.54
2022-04-08,729.35
2022-04-09,729.02
2022-04-10,729.01
2022-04-11,729.23
2022-04-12,729.07
2022-04-13,729.17
2022-04-14,729.85
2022-04-15,730.43
2022-04-16,731.41
2022-04-17,732.55
2022-04-18,734.37
2022-04-19,738.57
2022-04-20,742.27
2022-04-21,745.83
2022-04-22,748.79
2022-04-23,751.29
2022-04-24,753.64
2022-04-25,755.87
2022-04-26,757.72
2022-04-27,759.2
2022-04-28,760.52
2022-04-29,762.13
2022-04-30,765.16
2022-05-01,768.83
2022-05-02,772.53
2022-05-03,777.63
2022-05-04,780.93
2022-05-05,783.92
2022-05-06,788.41
2022-05-07,794.03
2022-05-08,798.76
2022-05-09,802.25
2022-05-10,805.07
2022-05-11,807.07
2022-05-12,808.69
2022-05-13,810.49
2022-05-14,813.39
2022-05-15,815.53
2022-05-16,816.95
2022-05-17,817.92
2022-05-18,818.73
2022-05-19,819.4
2022-05-20,819.98
2022-05-21,820.43
2022-05-22,820.79
2022-05-23,821.07
2022-05-24,821.31
2022-05-25,821.5
2022-05-26,821.66
2022-05-27,821.83
2022-05-28,822.04
2022-05-29,823.78
2022-05-30,825.18
2022-05-31,826.16
2022-06-01,826.81
2022-06-02,827.27
2022-06-03,827.63
2022-06-04,828.05
2022-06-05,829
2022-06-06,830.11
2022-06-07,830.41
2022-06-08,830.39
2022-06-09,830.12
2022-06-10,829.63
2022-06-11,830.73
2022-06-12,830.9
2022-06-13,830.65
2022-06-14,830.19
